id,repo,method,docstring,path,helpers,gptOutput
6621cd80cda9bd4817b10f64,tony19/logback-android,"public Map<String, String> getEffectiveConverterMap() {
    Map<String, String> effectiveMap = new HashMap<String, String>();

    // add the least specific map fist
    Map<String, String> defaultMap = getDefaultConverterMap();
    if (defaultMap != null) {
      effectiveMap.putAll(defaultMap);
    }

    // contextMap is more specific than the default map
    Context context = getContext();
    if (context != null) {
      @SuppressWarnings(""unchecked"")
      Map<String, String> contextMap = (Map<String, String>) context
          .getObject(CoreConstants.PATTERN_RULE_REGISTRY);
      if (contextMap != null) {
        effectiveMap.putAll(contextMap);
      }
    }
    return effectiveMap;
  }",Returns a map where the default converter map is merged with the map contained in the context .,logback-android/src/main/java/ch/qos/logback/core/html/HTMLLayoutBase.java,"[{'Syntax': 'getDefaultConverterMap()', 'FunctionName': 'getDefaultConverterMap', 'ArgsCount': 0, 'MethodBody': 'public  Map<String, String> getDefaultConverterMap() {\n    return converterMap;\n  }', 'FileName': '/tony19/logback-android/logback-android/src/test/java/ch/qos/logback/core/pattern/parser/SamplePatternLayout.java'}, {'Syntax': 'getContext()', 'FunctionName': 'getContext', 'ArgsCount': 0, 'MethodBody': 'abstract public Context getContext();', 'FileName': '/tony19/logback-android/logback-android/src/test/java/ch/qos/logback/core/pattern/parser/AbstractPatternLayoutBaseTest.java'}, {'Syntax': 'context\n          .getObject(CoreConstants.PATTERN_RULE_REGISTRY)', 'FunctionName': 'getObject', 'ArgsCount': 1, 'MethodBody': 'public Object getObject(String key) {\n    return objectMap.get(key);\n  }', 'FileName': '/tony19/logback-android/logback-android/src/main/java/ch/qos/logback/core/ContextBase.java'}]"
6621cd8bcda9bd4817b1104d,Unidata/thredds,"public float[] getAzimuths() {
    if (azimuths == null) {
      azimuths = new float[nRays];
      for (int r = 0; r < nRays; r++) {
        azimuths[r] = myRYIBs[r].getAzimuth();
      }
    }
    return azimuths;
  }",Get the array of azimuths for this sweep .,cdm/src/main/java/ucar/atd/dorade/DoradeSWIB.java,[]
6621cd8bcda9bd4817b1104e,hawkular/hawkular-metrics,"@Override
    public Observable<Observable<Row>> findAllDataFromBucket(long timestamp, int pageSize, int maxConcurrency) {
        PreparedStatement ts =
                getTempStatement(MetricType.UNDEFINED, TempStatement.SCAN_WITH_TOKEN_RANGES, timestamp);

        // The table does not exists - case such as when starting Hawkular-Metrics for the first time just before
        // compression kicks in.
        if(ts == null || prepMap.floorKey(timestamp) == 0L) {
            return Observable.empty();
        }

        return Observable.from(getTokenRanges())
                .map(tr -> rxSession.executeAndFetch(
                        ts
                                .bind()
                                .setToken(0, tr.getStart())
                                .setToken(1, tr.getEnd())
                                .setFetchSize(pageSize)));
    }",Fetch all the data from a temporary table for the compression job . Using TokenRanges avoids fetching first all the metrics partition keys and then requesting them .,core/metrics-core-service/src/main/java/org/hawkular/metrics/core/service/DataAccessImpl.java,"[{'Syntax': 'getTempStatement(MetricType.UNDEFINED, TempStatement.SCAN_WITH_TOKEN_RANGES, timestamp)', 'FunctionName': 'getTempStatement', 'ArgsCount': 3, 'MethodBody': 'PreparedStatement getTempStatement(MetricType type, TempStatement ts, long timestamp) {\n        Map.Entry<Long, Map<Integer, PreparedStatement>> floorEntry = prepMap\n                .floorEntry(timestamp);\n\n        if(floorEntry != null) {\n                return floorEntry.getValue()\n                    .get(getMapKey(type, ts));\n        }\n        return null;\n    }', 'FileName': '/hawkular/hawkular-metrics/core/metrics-core-service/src/main/java/org/hawkular/metrics/core/service/DataAccessImpl.java'}, {'Syntax': 'getTokenRanges()', 'FunctionName': 'getTokenRanges', 'ArgsCount': 0, 'MethodBody': 'private Set<TokenRange> getTokenRanges() {\n        Set<TokenRange> tokenRanges = new HashSet<>();\n        for (TokenRange tokenRange : session.getCluster().getMetadata().getTokenRanges()) {\n            tokenRanges.addAll(tokenRange.unwrap());\n        }\n        return tokenRanges;\n    }', 'FileName': '/hawkular/hawkular-metrics/containers/hawkular-openshift-security-filter/src/main/java/org/hawkular/openshift/auth/org/hawkular/openshift/namespace/NamespaceOverrideMapper.java'}, {'Syntax': 'rxSession.executeAndFetch(\n                        ts\n                                .bind()\n                                .setToken(0, tr.getStart())\n                                .setToken(1, tr.getEnd())\n                                .setFetchSize(pageSize))', 'FunctionName': 'executeAndFetch', 'ArgsCount': 1, 'MethodBody': 'Observable<Row> executeAndFetch(String query);', 'FileName': '/hawkular/hawkular-metrics/core/rx-java-driver/src/main/java/org/hawkular/rx/cassandra/driver/RxSession.java'}, {'Syntax': 'tr.getStart()', 'FunctionName': 'getStart', 'ArgsCount': 0, 'MethodBody': 'public String getStart() {\n        return start;\n    }', 'FileName': '/hawkular/hawkular-metrics/api/metrics-api-jaxrs/src/main/java/org/hawkular/metrics/api/jaxrs/StatsQueryRequest.java'}, {'Syntax': 'tr.getEnd()', 'FunctionName': 'getEnd', 'ArgsCount': 0, 'MethodBody': 'public String getEnd() {\n        return end;\n    }', 'FileName': '/hawkular/hawkular-metrics/api/metrics-api-jaxrs/src/main/java/org/hawkular/metrics/api/jaxrs/StatsQueryRequest.java'}]"
6621cd8bcda9bd4817b1104f,jboss/jboss-common-core,"public static Iterator names()
   {
      SecurityManager sm = System.getSecurityManager();
      if (sm != null)
         sm.checkPropertiesAccess();
      return props.names();
   }",Return an iterator over all contained property names .,src/main/java/org/jboss/util/property/PropertyManager.java,"[{'Syntax': 'props.names()', 'FunctionName': 'names', 'ArgsCount': 0, 'MethodBody': 'public static Iterator names()\n   {\n      SecurityManager sm = System.getSecurityManager();\n      if (sm != null)\n         sm.checkPropertiesAccess();\n      return props.names();\n   }', 'FileName': '/jboss/jboss-common-core/src/main/java/org/jboss/util/property/PropertyManager.java'}]"
6621cd8bcda9bd4817b11050,oblac/jodd,"protected void onDecoraTag(final Tag tag) {
		String tagName = tag.getName().toString();

		if (tag.getType() == TagType.SELF_CLOSING) {
			checkNestedDecoraTags();
			decoraTagName = tagName.substring(7);
			decoraTagStart = tag.getTagPosition();
			decoraTagEnd = tag.getTagPosition() + tag.getTagLength();
			defineDecoraTag();
			return;
		}

		if (tag.getType() == TagType.START) {
			checkNestedDecoraTags();
			decoraTagName = tagName.substring(7);
			decoraTagStart = tag.getTagPosition();
			decoraTagDefaultValueStart = tag.getTagPosition() + tag.getTagLength();
			return;
		}

		// closed tag type
		decoraTagEnd = tag.getTagPosition() + tag.getTagLength();
		decoraTagDefaultValueEnd = tag.getTagPosition();
		defineDecoraTag();
	}",Handle Decora tags .,jodd-decora/src/main/java/jodd/decora/parser/DecoratorTagVisitor.java,"[{'Syntax': 'tag.getName().toString()', 'FunctionName': 'toString', 'ArgsCount': 0, 'MethodBody': '@Override\n\tpublic String toString() {\n\t\tString out = """";\n\t\tif (shortName != null) {\n\t\t\tout += ""-"" + shortName;\n\t\t}\n\t\tif (longName != null) {\n\t\t\tif (!out.isEmpty()) {\n\t\t\t\tout += "" | "";\n\t\t\t}\n\t\t\tout += ""--"" + longName;\n\t\t}\n\t\treturn out;\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/cli/Option.java'}, {'Syntax': 'tag.getName()', 'FunctionName': 'getName', 'ArgsCount': 0, 'MethodBody': 'public String getName() {\n\t\treturn name;\n\t}', 'FileName': '/oblac/jodd/jodd-decora/src/main/java/jodd/decora/parser/DecoraTag.java'}, {'Syntax': 'checkNestedDecoraTags()', 'FunctionName': 'checkNestedDecoraTags', 'ArgsCount': 0, 'MethodBody': 'protected void checkNestedDecoraTags() {\n\t\tif (decoraTagName != null) {\n\t\t\tthrow new DecoraException(""Nested Decora tags not allowed"");\n\t\t}\n\t}', 'FileName': '/oblac/jodd/jodd-decora/src/main/java/jodd/decora/parser/DecoratorTagVisitor.java'}, {'Syntax': 'defineDecoraTag()', 'FunctionName': 'defineDecoraTag', 'ArgsCount': 0, 'MethodBody': 'protected void defineDecoraTag() {\n\t\tDecoraTag decoraTag =\n\t\t\t\tdecoraTagDefaultValueStart == 0 ?\n\t\t\t\t\tnew DecoraTag(decoraTagName, decoraIdName, decoraTagStart, decoraTagEnd) :\n\t\t\t\t\tnew DecoraTag(\n\t\t\t\t\t\t\tdecoraTagName, decoraIdName,\n\t\t\t\t\t\t\tdecoraTagStart, decoraTagEnd,\n\t\t\t\t\t\t\tdecoraTagDefaultValueStart, decoraTagDefaultValueEnd - decoraTagDefaultValueStart);\n\n\t\tdecoraTags.add(decoraTag);\n\t\tdecoraTagName = null;\n\t\tdecoraIdName = null;\n\t\tclosingTagName = null;\n\t\tdecoraTagDefaultValueStart = 0;\n\t}', 'FileName': '/oblac/jodd/jodd-decora/src/main/java/jodd/decora/parser/DecoratorTagVisitor.java'}, {'Syntax': 'checkNestedDecoraTags()', 'FunctionName': 'checkNestedDecoraTags', 'ArgsCount': 0, 'MethodBody': 'protected void checkNestedDecoraTags() {\n\t\tif (decoraTagName != null) {\n\t\t\tthrow new DecoraException(""Nested Decora tags not allowed"");\n\t\t}\n\t}', 'FileName': '/oblac/jodd/jodd-decora/src/main/java/jodd/decora/parser/DecoratorTagVisitor.java'}, {'Syntax': 'defineDecoraTag()', 'FunctionName': 'defineDecoraTag', 'ArgsCount': 0, 'MethodBody': 'protected void defineDecoraTag() {\n\t\tDecoraTag decoraTag =\n\t\t\t\tdecoraTagDefaultValueStart == 0 ?\n\t\t\t\t\tnew DecoraTag(decoraTagName, decoraIdName, decoraTagStart, decoraTagEnd) :\n\t\t\t\t\tnew DecoraTag(\n\t\t\t\t\t\t\tdecoraTagName, decoraIdName,\n\t\t\t\t\t\t\tdecoraTagStart, decoraTagEnd,\n\t\t\t\t\t\t\tdecoraTagDefaultValueStart, decoraTagDefaultValueEnd - decoraTagDefaultValueStart);\n\n\t\tdecoraTags.add(decoraTag);\n\t\tdecoraTagName = null;\n\t\tdecoraIdName = null;\n\t\tclosingTagName = null;\n\t\tdecoraTagDefaultValueStart = 0;\n\t}', 'FileName': '/oblac/jodd/jodd-decora/src/main/java/jodd/decora/parser/DecoratorTagVisitor.java'}]"
6621cd8bcda9bd4817b11051,WASdev/ci.common,"public static String extractSymbolicName(File jar) throws PluginExecutionException {
        JarFile jarFile = null;
        try {
            jarFile = new JarFile(jar);
            return jarFile.getManifest().getMainAttributes().getValue(""Bundle-SymbolicName"");
        } catch (IOException e) {
            throw new PluginExecutionException(""Could not load the jar "" + jar.getAbsolutePath(), e);
        } finally {
            if (jarFile != null) {
                try {
                    jarFile.close();
                } catch (IOException e) {
                    // nothing to do here
                }
            }
        }
    }",Extracts the bundle symbolic name from the jar manifest .,src/main/java/net/wasdev/wlp/common/plugins/util/InstallFeatureUtil.java,[]
6621cd8bcda9bd4817b11052,oblac/jodd,"public String hostUrl() {
		StringBand url = new StringBand(8);

		if (protocol != null) {
			url.append(protocol);
			url.append(""://"");
		}

		if (host != null) {
			url.append(host);
		}

		if (port != Defaults.DEFAULT_PORT) {
			url.append(':');
			url.append(port);
		}

		return url.toString();
	}",Returns just host url without path and query .,jodd-http/src/main/java/jodd/http/HttpRequest.java,"[{'Syntax': 'url.append(protocol)', 'FunctionName': 'append', 'ArgsCount': 1, 'MethodBody': 'public StringBand append(final boolean b) {\n\t\treturn append(b ? StringPool.TRUE : StringPool.FALSE);\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/util/StringBand.java'}, {'Syntax': 'url.append(""://"")', 'FunctionName': 'append', 'ArgsCount': 1, 'MethodBody': 'public StringBand append(final boolean b) {\n\t\treturn append(b ? StringPool.TRUE : StringPool.FALSE);\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/util/StringBand.java'}, {'Syntax': 'url.append(host)', 'FunctionName': 'append', 'ArgsCount': 1, 'MethodBody': 'public StringBand append(final boolean b) {\n\t\treturn append(b ? StringPool.TRUE : StringPool.FALSE);\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/util/StringBand.java'}, {'Syntax': ""url.append(':')"", 'FunctionName': 'append', 'ArgsCount': 1, 'MethodBody': 'public StringBand append(final boolean b) {\n\t\treturn append(b ? StringPool.TRUE : StringPool.FALSE);\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/util/StringBand.java'}, {'Syntax': 'url.append(port)', 'FunctionName': 'append', 'ArgsCount': 1, 'MethodBody': 'public StringBand append(final boolean b) {\n\t\treturn append(b ? StringPool.TRUE : StringPool.FALSE);\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/util/StringBand.java'}, {'Syntax': 'url.toString()', 'FunctionName': 'toString', 'ArgsCount': 0, 'MethodBody': '@Override\n\tpublic String toString() {\n\t\tString out = """";\n\t\tif (shortName != null) {\n\t\t\tout += ""-"" + shortName;\n\t\t}\n\t\tif (longName != null) {\n\t\t\tif (!out.isEmpty()) {\n\t\t\t\tout += "" | "";\n\t\t\t}\n\t\t\tout += ""--"" + longName;\n\t\t}\n\t\treturn out;\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/cli/Option.java'}]"
6621cd8bcda9bd4817b11053,RestComm/jain-slee,"private void writeMode() throws SLEEException, ManagementException {
        if (!isProfileWriteable()) {
            if (logger.isDebugEnabled()) {
                logger.debug(""Changing state to read-write, for profile mbean with name "" + profileName + "", from table with name "" + this.profileTable.getProfileTableName());
            }
            // get object & make it writable
            ProfileObjectImpl profileObject = profileTable.getProfile(profileName);
            profileObject.getProfileEntity().setReadOnly(false);
            // change state
            state = State.write;
        } else {
            if (logger.isDebugEnabled()) {
                logger.debug(""Already in write state, for profile mbean with name "" + profileName + "", from table with name "" + this.profileTable.getProfileTableName());
            }
        }
    }",Moves to the write mode using specified object . The current java transaction will be suspended .,container/profiles/src/main/java/org/mobicents/slee/container/profile/AbstractProfileMBeanImpl.java,"[{'Syntax': 'isProfileWriteable()', 'FunctionName': 'isProfileWriteable', 'ArgsCount': 0, 'MethodBody': 'public boolean isProfileWriteable()\n        throws ManagementException;', 'FileName': '/RestComm/jain-slee/api/jar/src/main/java/javax/slee/profile/ProfileMBean.java'}, {'Syntax': 'this.profileTable.getProfileTableName()', 'FunctionName': 'getProfileTableName', 'ArgsCount': 0, 'MethodBody': 'public String getProfileTableName()\n        throws ManagementException;', 'FileName': '/RestComm/jain-slee/api/jar/src/main/java/javax/slee/management/ProfileTableUsageMBean.java'}, {'Syntax': 'profileTable.getProfile(profileName)', 'FunctionName': 'getProfile', 'ArgsCount': 1, 'MethodBody': 'public ProfileObjectImpl getProfile(String profileName)\n\t\t\tthrows TransactionRequiredLocalException, SLEEException {\n\t\t\n\t\treturn transactionView.getProfile(profileName);\n\t}', 'FileName': '/RestComm/jain-slee/container/profiles/src/main/java/org/mobicents/slee/container/profile/ProfileTableImpl.java'}, {'Syntax': 'profileObject.getProfileEntity().setReadOnly(false)', 'FunctionName': 'setReadOnly', 'ArgsCount': 1, 'MethodBody': 'public void setReadOnly(String value) {\n        this.readOnly = value;\n    }', 'FileName': '/RestComm/jain-slee/container/components/descriptors/src/main/java/org/mobicents/slee/container/component/deployment/jaxb/slee11/profile/QueryOptions.java'}, {'Syntax': 'profileObject.getProfileEntity()', 'FunctionName': 'getProfileEntity', 'ArgsCount': 0, 'MethodBody': 'public ProfileEntity getProfileEntity() {\n\t\treturn profileEntity;\n\t}', 'FileName': '/RestComm/jain-slee/container/profiles/src/main/java/org/mobicents/slee/container/profile/ProfileObjectImpl.java'}, {'Syntax': 'this.profileTable.getProfileTableName()', 'FunctionName': 'getProfileTableName', 'ArgsCount': 0, 'MethodBody': 'public String getProfileTableName()\n        throws ManagementException;', 'FileName': '/RestComm/jain-slee/api/jar/src/main/java/javax/slee/management/ProfileTableUsageMBean.java'}]"
6621cd8bcda9bd4817b11054,oblac/jodd,"public synchronized void reset() {
		if (strategy == Strategy.ACTION_MANAGED) {
			actionBundles.clear();
			mirrors.clear();
		}

		final FindFile ff = new FindFile();
		ff.includeDirs(false);
		ff.searchPath(new File(bundleFolder, staplerPath));

		File f;
		int count = 0;
		while ((f = ff.nextFile()) != null) {
			f.delete();
			count++;
		}
		if (log.isInfoEnabled()) {
			log.info(""reset: "" + count + "" bundle files deleted."");
		}
	}",Clears all settings and removes all created bundle files from file system .,jodd-htmlstapler/src/main/java/jodd/htmlstapler/HtmlStaplerBundlesManager.java,"[{'Syntax': 'actionBundles.clear()', 'FunctionName': 'clear', 'ArgsCount': 0, 'MethodBody': '@Override\n\tpublic void clear() {\n\t\tfinal long stamp = lock.writeLock();\n\t\ttry {\n\t\t\tcacheMap.clear();\n\t\t}\n\t\tfinally {\n\t\t\tlock.unlockWrite(stamp);\n\t\t}\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/cache/AbstractCacheMap.java'}, {'Syntax': 'mirrors.clear()', 'FunctionName': 'clear', 'ArgsCount': 0, 'MethodBody': '@Override\n\tpublic void clear() {\n\t\tfinal long stamp = lock.writeLock();\n\t\ttry {\n\t\t\tcacheMap.clear();\n\t\t}\n\t\tfinally {\n\t\t\tlock.unlockWrite(stamp);\n\t\t}\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/cache/AbstractCacheMap.java'}, {'Syntax': 'ff.includeDirs(false)', 'FunctionName': 'includeDirs', 'ArgsCount': 1, 'MethodBody': 'public FindFile includeDirs(final boolean includeDirs) {\n\t\tthis.includeDirs = includeDirs;\n\t\treturn this;\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/io/findfile/FindFile.java'}, {'Syntax': 'ff.searchPath(new File(bundleFolder, staplerPath))', 'FunctionName': 'searchPath', 'ArgsCount': 1, 'MethodBody': 'public FindFile searchPath(final File searchPath) {\n\t\taddPath(searchPath);\n\t\treturn this;\n\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/io/findfile/FindFile.java'}, {'Syntax': 'ff.nextFile()', 'FunctionName': 'nextFile', 'ArgsCount': 0, 'MethodBody': 'protected File nextFile() {\n\t\t\twhile (index < files.length) {\n\t\t\t\tfinal File file = files[index];\n\n\t\t\t\tif (file == null) {\n\t\t\t\t\tindex++;\n\t\t\t\t\tcontinue;\n\t\t\t\t}\n\t\t\t\tfiles[index] = null;\n\t\t\t\tindex++;\n\n\t\t\t\tif (file.isFile()) {\n\t\t\t\t\tif (!includeFiles) {\n\t\t\t\t\t\tcontinue;\n\t\t\t\t\t}\n\t\t\t\t\tif (!acceptFile(file)) {\n\t\t\t\t\t\tcontinue;\n\t\t\t\t\t}\n\t\t\t\t}\n\n\t\t\t\treturn file;\n\t\t\t}\n\t\t\treturn null;\n\t\t}', 'FileName': '/oblac/jodd/jodd-core/src/main/java/jodd/io/findfile/FindFile.java'}, {'Syntax': 'f.delete()', 'FunctionName': 'delete', 'ArgsCount': 0, 'MethodBody': '@RestAction(""delete/{id}"")\n\t@GET\n\tpublic TextResult delete() {\n\t\ttag = loadTagById(id);\n\t\treturn TextResult.of(""delete-"" + tag);\n\t}', 'FileName': '/oblac/jodd/jodd-madvoc/src/test/java/jodd/madvoc/action/tag/TagAction.java'}]"
6621cd8ccda9bd4817b11055,rupertlssmith/lojix,"public void put(String name, Object value)
    {
        pageContext.setAttribute(name, value, scope);
    }",Inserts an object into the scope .,base/struts-tools/src/main/com/thesett/common/webapp/tags/ScopeHelper.java,[]
6621cd8ccda9bd4817b11056,RestComm/jain-slee,"public static void writeObject(ObjectOutputStream out, Object vendorData) throws IOException {
        // write non-transient fields
        out.defaultWriteObject();
        // check if should we serialize vendor data?
        if (vendorData != null) {
            // serialize the vendor data
            out.writeBoolean(true);
            // write the vendor data in a marshalled object so deserialization can be deferred
            out.writeObject(new MarshalledObject(vendorData));
        }
        else out.writeBoolean(false);
    }",Write the current object and vendor - specific data to the output stream .,api/jar/src/main/java/javax/slee/management/VendorExtensionUtils.java,"[{'Syntax': 'out.writeObject(new MarshalledObject(vendorData))', 'FunctionName': 'writeObject', 'ArgsCount': 1, 'MethodBody': 'private void writeObject(ObjectOutputStream out) throws IOException {\n        VendorExtensionUtils.writeObject(out, vendorDataSerializationEnabled ? vendorData : null);\n\n        if (cause != null) {\n            out.writeBoolean(true);\n            // serialize the cause inside a marshalled object to isolate\n            // the serialized data for it in the stream\n            out.writeObject(new MarshalledObject(cause));\n\n            // serialize a text form of the stack trace\n            StringWriter sw = new StringWriter();\n            PrintWriter pw = new PrintWriter(sw);\n            cause.printStackTrace(pw);\n            pw.flush();\n            out.writeUTF(sw.getBuffer().toString());\n        }\n        else {\n            out.writeBoolean(false);\n        }\n    }', 'FileName': '/RestComm/jain-slee/api/jar/src/main/java/javax/slee/management/Alarm.java'}]"
6621cd8ccda9bd4817b11057,ReactiveX/RxJava,"@CheckReturnValue
    @NonNull
    public static <T> UnicastProcessor<T> create(int capacityHint, Runnable onCancelled) {
        ObjectHelper.requireNonNull(onCancelled, ""onTerminate"");
        return new UnicastProcessor<T>(capacityHint, onCancelled);
    }",Creates an UnicastProcessor with the given internal buffer capacity hint and a callback for the case when the single Subscriber cancels its subscription .,src/main/java/io/reactivex/processors/UnicastProcessor.java,[]
6621cd8ccda9bd4817b11058,Unidata/thredds,"public CoordinateTransform findCoordinateTransform(String name) {
    if (name == null) return null;
    for (CoordinateTransform v : coordTransforms) {
      if (name.equals(v.getName()))
        return v;
    }
    return null;
  }",Retrieve the CoordinateTransform with the specified name .,cdm/src/main/java/ucar/nc2/dataset/NetcdfDataset.java,[]
6621cd8ccda9bd4817b11059,liveontologies/elk-reasoner,"private void enlarge() {
		int oldCapacity = keys.length;
		if (oldCapacity == LinearProbing.MAXIMUM_CAPACITY)
			throw new IllegalArgumentException(
					""Map cannot grow beyond capacity: ""
							+ LinearProbing.MAXIMUM_CAPACITY);
		K oldKeys[] = keys;
		V oldValues[] = values;
		int newCapacity = oldCapacity << 1;
		@SuppressWarnings(""unchecked"")
		K newKeys[] = (K[]) new Object[newCapacity];
		@SuppressWarnings(""unchecked"")
		V newValues[] = (V[]) new Object[newCapacity];
		for (int i = 0; i < oldCapacity; i++) {
			K key = oldKeys[i];
			if (key != null)
				putKeyValue(newKeys, newValues, key, oldValues[i]);
		}
		this.keys = newKeys;
		this.values = newValues;
	}",Increasing the capacity of the map,elk-util-parent/elk-util-collections/src/main/java/org/semanticweb/elk/util/collections/ArrayHashMap.java,"[{'Syntax': 'putKeyValue(newKeys, newValues, key, oldValues[i])', 'FunctionName': 'putKeyValue', 'ArgsCount': 4, 'MethodBody': 'private static <K, V> V putKeyValue(K[] keys, V[] values, K key, V value) {\n\t\tint pos = LinearProbing.getPosition(keys, key);\n\t\tif (keys[pos] == null) {\n\t\t\tkeys[pos] = key;\n\t\t\tvalues[pos] = value;\n\t\t\treturn null;\n\t\t}\n\t\t// else\n\t\tV oldValue = values[pos];\n\t\tvalues[pos] = value;\n\t\treturn oldValue;\n\t}', 'FileName': '/liveontologies/elk-reasoner/elk-util-parent/elk-util-collections/src/main/java/org/semanticweb/elk/util/collections/ArrayHashMap.java'}]"
6621cd8ccda9bd4817b1105a,google/guice,"private static boolean hasSameVersionOfCglib(ClassLoader classLoader) {
    Class<?> fc = net.sf.cglib.reflect.FastClass.class;
    try {
      return classLoader.loadClass(fc.getName()) == fc;
    } catch (ClassNotFoundException e) {
      return false;
    }
  }",Returns true if the types classloader has the same version of cglib that BytecodeGen has . This only returns false in strange OSGI situations but it prevents us from using FastClass for non public members .,core/src/com/google/inject/internal/BytecodeGen.java,"[{'Syntax': 'classLoader.loadClass(fc.getName())', 'FunctionName': 'loadClass', 'ArgsCount': 1, 'MethodBody': '@Override\n        public Class<?> loadClass(String name) throws ClassNotFoundException {\n          // This means for every class besides cls we delegate to our parent (so things like\n          // @Singleton and Object are well defined), but for this one class we load a new one in\n          // this loader.\n          if (name.equals(cls.getName())) {\n            Class<?> c = findLoadedClass(name);\n            if (c == null) {\n              return super.findClass(name);\n            }\n            return c;\n          }\n          return super.loadClass(name);\n        }', 'FileName': '/google/guice/core/test/com/google/inject/EagerSingletonTest.java'}, {'Syntax': 'fc.getName()', 'FunctionName': 'getName', 'ArgsCount': 0, 'MethodBody': '@Override\n    public String getName() {\n      return name;\n    }', 'FileName': '/google/guice/extensions/assistedinject/test/com/google/inject/assistedinject/ManyConstructorsTest.java'}]"
6621cd8ccda9bd4817b1105b,lightcouch/LightCouch,"Response delete(URI uri) {
		HttpResponse response = null;
		try {
			HttpDelete delete = new HttpDelete(uri);
			response = executeRequest(delete); 
			return getResponse(response);
		} finally {
			close(response);
		}
	}",Performs a HTTP DELETE request .,src/main/java/org/lightcouch/CouchDbClientBase.java,"[{'Syntax': 'executeRequest(delete)', 'FunctionName': 'executeRequest', 'ArgsCount': 1, 'MethodBody': 'public HttpResponse executeRequest(HttpRequestBase request) {\n\t\ttry {\n\t\t\treturn  httpClient.execute(host, request, createContext());\n\t\t} catch (IOException e) {\n\t\t\trequest.abort();\n\t\t\tthrow new CouchDbException(""Error executing request. "", e);\n\t\t} \n\t}', 'FileName': '/lightcouch/LightCouch/src/main/java/org/lightcouch/CouchDbClientBase.java'}, {'Syntax': 'getResponse(response)', 'FunctionName': 'getResponse', 'ArgsCount': 1, 'MethodBody': 'private Response getResponse(HttpResponse response) throws CouchDbException {\n\t\tInputStreamReader reader = new InputStreamReader(getStream(response), Charsets.UTF_8);\n\t\treturn getGson().fromJson(reader, Response.class);\n\t}', 'FileName': '/lightcouch/LightCouch/src/main/java/org/lightcouch/CouchDbClientBase.java'}, {'Syntax': 'close(response)', 'FunctionName': 'close', 'ArgsCount': 1, 'MethodBody': 'public static void close(HttpResponse response) {\n\t\ttry {\n\t\t\tclose(response.getEntity().getContent());\n\t\t} catch (Exception e) {}\n\t}', 'FileName': '/lightcouch/LightCouch/src/main/java/org/lightcouch/CouchDbUtil.java'}]"
6621cd8ccda9bd4817b1105c,khennig/jpql-querybuilder,"public static String join(final List<String> list) {

		// zero, empty or one element
		if (list == null) {
			return null;
		} else if (list.size() == 0) {
			return """";
		} else if (list.size() == 1) {
			return list.get(0);
		}

		// two or more elements
		final StringBuilder builder = new StringBuilder();
		for (String item : list) {
			if (builder.length() > 0) {
				builder.append("", "");
			}
			builder.append(item);
		}
		return builder.toString();

	}",Joins items of a text list separating items by comma .,src/main/java/com/tri/persistence/jpql/utils/StringUtils.java,[]
