method,docstring,_id
"public static XContentBuilder contentBuilder() throws IOException {
        return provider.getContentBuilder();
    }","/**
     * Returns an {@link XContentBuilder} for building YAML based content.
     */",67087d9d82a3a5339cc3dc16
"public MeshPartBuilder begin (int primitiveType) {
		if (building) throw new GdxRuntimeException(""Call end() after calling begin()"");
		building = true;

		builder.begin(mesh.getVertexAttributes());
		builder.part(id, primitiveType, renderable.meshPart);
		return builder;
	}","/** Initialize ShapeCache for mesh generation
	 * @param primitiveType OpenGL primitive type */",67087d9d82a3a5339cc3dc17
"public static boolean nearlyEqual(float a, float b, float epsilon)
    {
        float absA = Math.abs(a);
        float absB = Math.abs(b);
        float diff = Math.abs(a - b);

        if (a == b) { // shortcut, handles infinities
            return true;
        }
        else if (a == 0 || b == 0 || diff < Float.MIN_NORMAL) {
            // a or b is zero or both are extremely close to it
            // relative error is less meaningful here
            return diff < (epsilon * Float.MIN_NORMAL);
        }
        else { // use relative error
            return diff / Math.min((absA + absB), Float.MAX_VALUE) < epsilon;
        }
    }","/**
     * See http://floating-point-gui.de/errors/comparison/
     */",67087d9d82a3a5339cc3dc18
"public synchronized Session getSession() {
		if (this.session == null) {
			this.session = Session.getInstance(this.javaMailProperties);
		}
		return this.session;
	}","/**
	 * Return the JavaMail {@code Session},
	 * lazily initializing it if it hasn't been specified explicitly.
	 */",67087d9d82a3a5339cc3dc19
"@Deprecated
    public B channelFactory(ChannelFactory<? extends C> channelFactory) {
        ObjectUtil.checkNotNull(channelFactory, ""channelFactory"");
        if (this.channelFactory != null) {
            throw new IllegalStateException(""channelFactory set already"");
        }

        this.channelFactory = channelFactory;
        return self();
    }","/**
     * @deprecated Use {@link #channelFactory(io.netty.channel.ChannelFactory)} instead.
     */",67087d9d82a3a5339cc3dc1a
"public String leadCoordinatorUrl()
  {
    ResolvedDruidService coord = config.requireCoordinator();
    ResolvedInstance leader = leader(coord);
    return coord.resolveUrl(leader);
  }","/**
   * Returns the URL for the lead coordinator.
   */",67087d9d82a3a5339cc3dc1b
"@Override
	public ConditionEvaluationResult evaluateExecutionCondition(ExtensionContext context) {
		return evaluateAnnotation(EnabledIf.class, EnabledIf::expression, EnabledIf::reason,
				EnabledIf::loadContext, true, context);
	}","/**
	 * Containers and tests are enabled if {@code @EnabledIf} is present on the
	 * corresponding test class or test method and the configured expression
	 * evaluates to {@code true}.
	 */",67087d9d82a3a5339cc3dc1c
"public static int toUtf8WithLimit(final String string, final ByteBuffer byteBuffer)
  {
    final CharsetEncoder encoder = StandardCharsets.UTF_8
        .newEncoder()
        .onMalformedInput(CodingErrorAction.REPLACE)
        .onUnmappableCharacter(CodingErrorAction.REPLACE);

    final int originalPosition = byteBuffer.position();
    final int originalLimit = byteBuffer.limit();
    final int maxBytes = byteBuffer.remaining();

    try {
      final char[] chars = string.toCharArray();
      final CharBuffer charBuffer = CharBuffer.wrap(chars);

      // No reason to look at the CoderResult from the ""encode"" call; we can tell the number of transferred characters
      // by looking at the output buffer's position.
      encoder.encode(charBuffer, byteBuffer, true);

      final int bytesWritten = byteBuffer.position() - originalPosition;

      assert bytesWritten <= maxBytes;
      return bytesWritten;
    }
    finally {
      byteBuffer.position(originalPosition);
      byteBuffer.limit(originalLimit);
    }
  }","/**
   * Encodes ""string"" into the buffer ""byteBuffer"", using no more than the number of bytes remaining in the buffer.
   * Will only encode whole characters. The byteBuffer's position and limit may be changed during operation, but will
   * be reset before this method call ends.
   *
   * @return the number of bytes written, which may be shorter than the full encoded string length if there
   * is not enough room in the output buffer.
   */",67087d9d82a3a5339cc3dc1d
"public ServiceResponse<RegistrationSessionMetadataResponse> requestSmsVerificationCode(String sessionId, Locale locale, boolean androidSmsRetrieverSupported) {
    try {
      final RegistrationSessionMetadataResponse response = pushServiceSocket.requestVerificationCode(sessionId, locale, androidSmsRetrieverSupported, PushServiceSocket.VerificationCodeTransport.SMS);
      return ServiceResponse.forResult(response, 200, null);
    } catch (IOException e) {
      return ServiceResponse.forUnknownError(e);
    }
  }","/**
   * Request an SMS verification code.  On success, the server will send
   * an SMS verification code to this Signal user.
   *
   * @param androidSmsRetrieverSupported
   */",67087d9d82a3a5339cc3dc1e
"@Override
	public int hashCode() {
		return this.path.hashCode();
	}","/**
	 * This implementation returns the hash code of the underlying {@link Path} reference.
	 */",67087d9d82a3a5339cc3dc1f
"public static UriComponentsBuilder fromOriginHeader(String origin) {
		Matcher matcher = URI_PATTERN.matcher(origin);
		if (matcher.matches()) {
			UriComponentsBuilder builder = new UriComponentsBuilder();
			String scheme = matcher.group(2);
			String host = matcher.group(6);
			String port = matcher.group(8);
			if (StringUtils.hasLength(scheme)) {
				builder.scheme(scheme);
			}
			builder.host(host);
			if (StringUtils.hasLength(port)) {
				builder.port(port);
			}
			checkSchemeAndHost(origin, scheme, host);
			return builder;
		}
		else {
			throw new IllegalArgumentException(""["" + origin + ""] is not a valid \""Origin\"" header value"");
		}
	}","/**
	 * Create an instance by parsing the ""Origin"" header of an HTTP request.
	 * @see <a href=""https://tools.ietf.org/html/rfc6454"">RFC 6454</a>
	 */",67087d9d82a3a5339cc3dc20
"protected void handleResult(Object result, Message request, @Nullable Session session) {
		if (session != null) {
			if (logger.isDebugEnabled()) {
				logger.debug(""Listener method returned result ["" + result +
						""] - generating response message for it"");
			}
			try {
				Message response = buildMessage(session, result);
				postProcessResponse(request, response);
				Destination destination = getResponseDestination(request, response, session, result);
				sendResponse(session, destination, response);
			}
			catch (Exception ex) {
				throw new ReplyFailureException(""Failed to send reply with payload ["" + result + ""]"", ex);
			}
		}

		else {
			// No JMS Session available
			if (logger.isWarnEnabled()) {
				logger.warn(""Listener method returned result ["" + result +
						""]: not generating response message for it because of no JMS Session given"");
			}
		}
	}","/**
	 * Handle the given result object returned from the listener method,
	 * sending a response message back.
	 * @param result the result object to handle (never {@code null})
	 * @param request the original request message
	 * @param session the JMS Session to operate on (may be {@code null})
	 * @throws ReplyFailureException if the response message could not be sent
	 * @see #buildMessage
	 * @see #postProcessResponse
	 * @see #getResponseDestination
	 * @see #sendResponse
	 */",67087d9d82a3a5339cc3dc21
"public PackstreamBuf writeString8(String payload) {
        if (payload == null) {
            throw new NullPointerException(""payload cannot be null"");
        }

        return this.writeString8(payload.getBytes(STRING_CHARSET));
    }","/**
     * Writes an 8-bit prefixed string value of arbitrary length to this buffer.
     *
     * @param payload a string value.
     * @return a reference to this buffer.
     * @throws IllegalArgumentException when the value exceeds the bounds of this type.
     */",67087d9d82a3a5339cc3dc22
"public void testModeNonNumericField() throws IOException {
        SearchExecutionContext searchExecutionContext = createMockSearchExecutionContext();

        FieldSortBuilder sortBuilder = new FieldSortBuilder(MAPPED_STRING_FIELDNAME).sortMode(SortMode.MIN);
        SortField sortField = sortBuilder.build(searchExecutionContext).field;
        assertThat(sortField, instanceOf(SortedSetSortField.class));
        assertEquals(SortedSetSelector.Type.MIN, ((SortedSetSortField) sortField).getSelector());

        sortBuilder = new FieldSortBuilder(MAPPED_STRING_FIELDNAME).sortMode(SortMode.MAX);
        sortField = sortBuilder.build(searchExecutionContext).field;
        assertThat(sortField, instanceOf(SortedSetSortField.class));
        assertEquals(SortedSetSelector.Type.MAX, ((SortedSetSortField) sortField).getSelector());

        String expectedError = ""we only support AVG, MEDIAN and SUM on number based fields"";
        QueryShardException e = expectThrows(
            QueryShardException.class,
            () -> new FieldSortBuilder(MAPPED_STRING_FIELDNAME).sortMode(SortMode.AVG).build(searchExecutionContext)
        );
        assertEquals(expectedError, e.getMessage());

        e = expectThrows(
            QueryShardException.class,
            () -> new FieldSortBuilder(MAPPED_STRING_FIELDNAME).sortMode(SortMode.SUM).build(searchExecutionContext)
        );
        assertEquals(expectedError, e.getMessage());

        e = expectThrows(
            QueryShardException.class,
            () -> new FieldSortBuilder(MAPPED_STRING_FIELDNAME).sortMode(SortMode.MEDIAN).build(searchExecutionContext)
        );
        assertEquals(expectedError, e.getMessage());
    }","/**
     * Test that MIN, MAX mode work on non-numeric fields, but other modes throw exception
     */",67087d9d82a3a5339cc3dc23
"private void exchangeCodeForToken(AuthorizationCode code, ActionListener<Tuple<AccessToken, JWT>> tokensListener) {
        try {
            final AuthorizationCodeGrant codeGrant = new AuthorizationCodeGrant(code, rpConfig.getRedirectUri());
            final HttpPost httpPost = new HttpPost(opConfig.getTokenEndpoint());
            httpPost.setHeader(""Content-type"", ""application/x-www-form-urlencoded"");
            final List<NameValuePair> params = new ArrayList<>();
            for (Map.Entry<String, List<String>> entry : codeGrant.toParameters().entrySet()) {
                // All parameters of AuthorizationCodeGrant are singleton lists
                params.add(new BasicNameValuePair(entry.getKey(), entry.getValue().get(0)));
            }
            if (rpConfig.getClientAuthenticationMethod().equals(ClientAuthenticationMethod.CLIENT_SECRET_BASIC)) {
                UsernamePasswordCredentials creds = new UsernamePasswordCredentials(
                    URLEncoder.encode(rpConfig.getClientId().getValue(), StandardCharsets.UTF_8),
                    URLEncoder.encode(rpConfig.getClientSecret().toString(), StandardCharsets.UTF_8)
                );
                httpPost.addHeader(new BasicScheme().authenticate(creds, httpPost, null));
            } else if (rpConfig.getClientAuthenticationMethod().equals(ClientAuthenticationMethod.CLIENT_SECRET_POST)) {
                params.add(new BasicNameValuePair(""client_id"", rpConfig.getClientId().getValue()));
                params.add(new BasicNameValuePair(""client_secret"", rpConfig.getClientSecret().toString()));
            } else if (rpConfig.getClientAuthenticationMethod().equals(ClientAuthenticationMethod.CLIENT_SECRET_JWT)) {
                ClientSecretJWT clientSecretJWT = new ClientSecretJWT(
                    rpConfig.getClientId(),
                    opConfig.getTokenEndpoint(),
                    rpConfig.getClientAuthenticationJwtAlgorithm(),
                    new Secret(rpConfig.getClientSecret().toString())
                );
                for (Map.Entry<String, List<String>> entry : clientSecretJWT.toParameters().entrySet()) {
                    // Both client_assertion and client_assertion_type are singleton lists
                    params.add(new BasicNameValuePair(entry.getKey(), entry.getValue().get(0)));
                }
            } else {
                tokensListener.onFailure(
                    new ElasticsearchSecurityException(
                        ""Failed to exchange code for Id Token using Token Endpoint.""
                            + ""Expected client authentication method to be one of ""
                            + OpenIdConnectRealmSettings.CLIENT_AUTH_METHODS
                            + "" but was [""
                            + rpConfig.getClientAuthenticationMethod()
                            + ""]""
                    )
                );
            }
            httpPost.setEntity(new UrlEncodedFormEntity(params, (Charset) null));
            SpecialPermission.check();
            AccessController.doPrivileged((PrivilegedAction<Void>) () -> {

                httpClient.execute(httpPost, new FutureCallback<HttpResponse>() {
                    @Override
                    public void completed(HttpResponse result) {
                        handleTokenResponse(result, tokensListener);
                    }

                    @Override
                    public void failed(Exception ex) {
                        tokensListener.onFailure(
                            new ElasticsearchSecurityException(""Failed to exchange code for Id Token using the Token Endpoint."", ex)
                        );
                    }

                    @Override
                    public void cancelled() {
                        final String message = ""Failed to exchange code for Id Token using the Token Endpoint. Request was cancelled"";
                        tokensListener.onFailure(new ElasticsearchSecurityException(message));
                    }
                });
                return null;
            });
        } catch (AuthenticationException | JOSEException e) {
            tokensListener.onFailure(
                new ElasticsearchSecurityException(""Failed to exchange code for Id Token using the Token Endpoint."", e)
            );
        }
    }","/**
     * Attempts to make a request to the Token Endpoint of the OpenID Connect provider in order to exchange an
     * authorization code for an Id Token (and potentially an Access Token)
     */",67087d9d82a3a5339cc3dc24
"public void registerEntries(JsonMixinModuleEntries entries, ClassLoader classLoader) {
		entries.doWithEntry(classLoader, this::setMixInAnnotation);
	}","/**
	 * Register the specified {@link JsonMixinModuleEntries entries}.
	 * @param entries the entries to register to this instance
	 * @param classLoader the classloader to use
	 */",67087d9d82a3a5339cc3dc25
"protected boolean isIncludeBindingErrors(ServerRequest request, MediaType produces) {
		return switch (this.errorProperties.getIncludeBindingErrors()) {
			case ALWAYS -> true;
			case ON_PARAM -> isBindingErrorsEnabled(request);
			case NEVER -> false;
		};
	}","/**
	 * Determine if the errors attribute should be included.
	 * @param request the source request
	 * @param produces the media type produced (or {@code MediaType.ALL})
	 * @return if the errors attribute should be included
	 */",67087d9d82a3a5339cc3dc26
"public static double asin(double value) {
        boolean negateResult;
        if (value < 0.0) {
            value = -value;
            negateResult = true;
        } else {
            negateResult = false;
        }
        if (value <= ASIN_MAX_VALUE_FOR_TABS) {
            int index = (int) (value * ASIN_INDEXER + 0.5);
            double delta = value - index * ASIN_DELTA;
            double result = asinTab[index] + delta * (asinDer1DivF1Tab[index] + delta * (asinDer2DivF2Tab[index] + delta
                * (asinDer3DivF3Tab[index] + delta * asinDer4DivF4Tab[index])));
            return negateResult ? -result : result;
        } else if (value <= ASIN_MAX_VALUE_FOR_POWTABS) {
            int index = (int) (FastMath.powFast(value * ASIN_POWTABS_ONE_DIV_MAX_VALUE, ASIN_POWTABS_POWER) * ASIN_POWTABS_SIZE_MINUS_ONE
                + 0.5);
            double delta = value - asinParamPowTab[index];
            double result = asinPowTab[index] + delta * (asinDer1DivF1PowTab[index] + delta * (asinDer2DivF2PowTab[index] + delta
                * (asinDer3DivF3PowTab[index] + delta * asinDer4DivF4PowTab[index])));
            return negateResult ? -result : result;
        } else { // value > ASIN_MAX_VALUE_FOR_TABS, or value is NaN
            // This part is derived from fdlibm.
            if (value < 1.0) {
                double t = (1.0 - value) * 0.5;
                double p = t * (ASIN_PS0 + t * (ASIN_PS1 + t * (ASIN_PS2 + t * (ASIN_PS3 + t * (ASIN_PS4 + t * ASIN_PS5)))));
                double q = 1.0 + t * (ASIN_QS1 + t * (ASIN_QS2 + t * (ASIN_QS3 + t * ASIN_QS4)));
                double s = Math.sqrt(t);
                double z = s + s * (p / q);
                double result = ASIN_PIO2_HI - ((z + z) - ASIN_PIO2_LO);
                return negateResult ? -result : result;
            } else { // value >= 1.0, or value is NaN
                if (value == 1.0) {
                    return negateResult ? -Math.PI / 2 : Math.PI / 2;
                } else {
                    return Double.NaN;
                }
            }
        }
    }","/**
     * @param value Value in [-1,1].
     * @return Value arcsine, in radians, in [-PI/2,PI/2].
     */",67087d9d82a3a5339cc3dc27
